spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_amazon_micro_2_7_10286
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.04,0.015,0.02
1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.025,5.02,5.02
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.02,0.01,0.005
1,1,1,1,0,0,1,0,0,0,0,0,0,0,5.03,5.02,5.02
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.11,0.05,0.045
1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.12,0.05,0.055
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.035,0.01,0.015
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.11,0.05,0.045
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.02,0,0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,5.01,4.86,4.48
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.02,0.01,0.01
1,1,0,1,1,0,1,0,0,0,0,0,0,0,3.545,1.525,1.425
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.02,0,0
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.06,0.02,0.025
1,1,1,1,1,0,1,0,0,0,0,0,0,0,5.02,5.01,5.01
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.015
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.005,5,5.01
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.08,0.04,0.04
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.005,5.01,5.01
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.01
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.01,5.005,5.01
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.085,0.04,0.04
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5,5.005,5.01
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.04,0.02,0.015
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.01,5.005,5.01
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.065,0.03,0.025
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.01,5,5.01
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.04,0.015,0.01
1,0,1,1,0,1,1,0,0,0,0,0,0,0,5,5.01,5.01
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.065,0.03,0.03
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.925,0.39,0.395
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.04,0.015,0.01
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.005,5.005,5.015
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.095,0.04,0.04
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5.005
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.04,0.02,0.015
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5.01
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.08,0.04,0.03
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5.005
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.04,0.02,0.01
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.08,0.04,0.04
1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.01,5.01,5
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.035,0.02,0.015
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.005,5,5.01
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.07,0.03,0.03
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.005,5.01,5.005
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5.01,5
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06,0.03,0.025
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,5.01,5.01
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.01,5.02,5.02
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.02,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,4.96,2.07,1.98
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.02,0.005,0.01
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.02,5.02,5.02
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.03,0.005,0.01
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.025,5.02,5.02
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.02,0.01,0.005
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.03,5.02,5.02
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.025,0.01,0.01
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.025,5.02,5.02
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.15,0.07,0.07
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.05,0.02,0.02
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.155,0.06,0.07
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5.015
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.055,0.02,0.02
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.02,5.01,5.01
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.16,0.07,0.07
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.01,5.015,5.01
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.055,0.02,0.02
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.015,5.015,5.01
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.15,0.07,0.065
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.015,5.01,5.015
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.06,0.02,0.02
1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.015,5.01,5.015
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.04,0.02,0.015
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,5
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.07,0.025,0.03
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5,5.01,5
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.04,0.02,0.02
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5,5,5
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.07,0.025,0.02
1,1,1,0,0,1,0,1,0,0,0,0,0,0,5,5.005,5
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.04,0.01,0.01
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,5.005
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.075,0.04,0.035
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5,5,5
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.04,0.015,0.01
1,0,1,1,0,1,0,1,0,0,0,0,0,0,5,5,5.01
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.08,0.035,0.03
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5.005,5,5
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.04,0.015,0.015
1,0,0,0,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.1,0.04,0.04
1,1,0,0,1,1,0,1,0,0,0,0,0,0,5,5.005,5
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.04,0.02,0.015
1,0,1,0,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.04
1,1,1,0,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.04,0.02,0.01
1,0,0,1,1,1,0,1,0,0,0,0,0,0,5.005,5.01,5
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.04
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.035,0.02,0.01
1,0,1,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.095,0.045,0.04
1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.01,5.01,5
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.035,0.015,0.015
1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5.005,5
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.06,0.03,0.02
1,1,0,0,0,0,1,1,0,0,0,0,0,0,5.01,4.2,3.815
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.03,0.01,0.01
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.535,0.245,0.225
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.09,0.04,0.04
1,1,1,0,0,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.03,0.01,0.005
1,0,0,1,0,0,1,1,0,0,0,0,0,0,5.035,5.02,5.02
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.03,0.01,0.01
1,1,0,1,0,0,1,1,0,0,0,0,0,0,5.025,5.04,5.04
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.035,0.01,0.015
1,0,1,1,0,0,1,1,0,0,0,0,0,0,5.03,5.02,5.02
0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.02,0.01,0.01
1,1,1,1,0,0,1,1,0,0,0,0,0,0,5.025,5.02,5.02
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.105,0.05,0.05
1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.125,0.055,0.055
1,1,0,0,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.04,0.015,0.015
1,0,1,0,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.11,0.05,0.05
1,1,1,0,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.02,0,0
1,0,0,1,1,0,1,1,0,0,0,0,0,0,5.01,4.835,4.475
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0.025,0.005,0.005
1,1,0,1,1,0,1,1,0,0,0,0,0,0,3.525,1.495,1.425
0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.02,0,0
1,0,1,1,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.065,0.03,0.02
1,1,1,1,1,0,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.04,0.02,0.02
1,0,0,0,0,1,1,1,0,0,0,0,0,0,5.01,5,5.01
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.08,0.035,0.04
1,1,0,0,0,1,1,1,0,0,0,0,0,0,5.005,5.01,5.01
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.04,0.015,0.015
1,0,1,0,0,1,1,1,0,0,0,0,0,0,5.01,5.005,5.01
0,1,1,0,0,1,1,1,0,0,0,0,0,0,0.09,0.04,0.04
1,1,1,0,0,1,1,1,0,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.035,0.02,0.015
1,0,0,1,0,1,1,1,0,0,0,0,0,0,5.005,5.01,5.01
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.065,0.03,0.025
1,1,0,1,0,1,1,1,0,0,0,0,0,0,5.01,5,5.01
0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.035,0.02,0.015
1,0,1,1,0,1,1,1,0,0,0,0,0,0,5,5.01,5.005
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.07,0.03,0.03
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.905,0.405,0.39
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.04,0.02,0.01
1,0,0,0,1,1,1,1,0,0,0,0,0,0,5.005,5.01,5.01
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.1,0.04,0.04
1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5.01,5.005
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.04,0.02,0.015
1,0,1,0,1,1,1,1,0,0,0,0,0,0,5,5.01,5.005
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.075,0.03,0.03
1,1,1,0,1,1,1,1,0,0,0,0,0,0,5.005,5.01,5.005
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.04,0.02,0.02
1,0,0,1,1,1,1,1,0,0,0,0,0,0,5.015,5.01,5.01
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.09,0.04,0.035
1,1,0,1,1,1,1,1,0,0,0,0,0,0,5.01,5.01,5
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.04,0.02,0.01
1,0,1,1,1,1,1,1,0,0,0,0,0,0,5.01,5.015,5.01
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.07,0.025,0.025
1,1,1,1,1,1,1,1,0,0,0,0,0,0,5.005,5.01,5.005
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5.01,5
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.06,0.025,0.03
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5.01,5.01
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.01,5.02,5.02
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.015,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,2.115,1.985
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.02,0.01,0.005
1,0,0,1,0,0,0,0,1,0,0,0,0,0,5.03,5.02,5.02
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.02,0.01,0.01
1,1,0,1,0,0,0,0,1,0,0,0,0,0,5.02,5.02,5.02
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.02,0.01,0.01
1,0,1,1,0,0,0,0,1,0,0,0,0,0,5.03,5.02,5.02
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.03,0.01,0.005
1,1,1,1,0,0,0,0,1,0,0,0,0,0,5.02,5.02,5.02
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.16,0.065,0.065
1,0,0,0,1,0,0,0,1,0,0,0,0,0,5.01,5.01,5.01
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.05,0.02,0.02
1,1,0,0,1,0,0,0,1,0,0,0,0,0,5.015,5.015,5.01
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.15,0.065,0.07
1,0,1,0,1,0,0,0,1,0,0,0,0,0,5.01,5.01,5.01
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.05,0.02,0.02
1,1,1,0,1,0,0,0,1,0,0,0,0,0,5.015,5.01,5.015
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.15,0.07,0.07
1,0,0,1,1,0,0,0,1,0,0,0,0,0,5.01,5.01,5.015
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.05,0.02,0.02
1,1,0,1,1,0,0,0,1,0,0,0,0,0,5.02,5.01,5.015
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.15,0.065,0.065
1,0,1,1,1,0,0,0,1,0,0,0,0,0,5.01,5.01,5.01
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.05,0.02,0.02
1,1,1,1,1,0,0,0,1,0,0,0,0,0,5.015,5.015,5.01
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.04,0.015,0.015
1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.07,0.025,0.025
1,1,0,0,0,1,0,0,1,0,0,0,0,0,5,5,5
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.035,0.02,0.03
1,0,1,0,0,1,0,0,1,0,0,0,0,0,5,5.005,5
0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.07,0.025,0.055
1,1,1,0,0,1,0,0,1,0,0,0,0,0,5,5.005,5.005
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.04,0.02,0.025
1,0,0,1,0,1,0,0,1,0,0,0,0,0,5,5,5.005
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.075,0.04,0.06
1,1,0,1,0,1,0,0,1,0,0,0,0,0,5.01,5,5.01
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.04,0.015,0.035
1,0,1,1,0,1,0,0,1,0,0,0,0,0,5,5,5.01
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.075,0.035,0.06
1,1,1,1,0,1,0,0,1,0,0,0,0,0,5,5,5
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.04,0.02,0.035
1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,5.01,5.005
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.105,0.04,0.085
1,1,0,0,1,1,0,0,1,0,0,0,0,0,5.01,5.01,5
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0.035,0.015,0.035
1,0,1,0,1,1,0,0,1,0,0,0,0,0,5.005,5.01,5.005
0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.1,0.045,0.085
1,1,1,0,1,1,0,0,1,0,0,0,0,0,5.005,5.01,5.01
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.04,0.01,0.03
1,0,0,1,1,1,0,0,1,0,0,0,0,0,5.005,5.01,5.005
0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.095,0.045,0.085
1,1,0,1,1,1,0,0,1,0,0,0,0,0,5.005,5.01,5
0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.035,0.01,0.03
1,0,1,1,1,1,0,0,1,0,0,0,0,0,5.01,5.01,5
0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.11,0.045,0.09
1,1,1,1,1,1,0,0,1,0,0,0,0,0,5.01,5.01,5.005
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.04,0.02,0.03
1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5.005
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.06,0.025,0.05
1,1,0,0,0,0,1,0,1,0,0,0,0,0,5.01,4.195,5.01
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.03,0.01,0.025
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.535,0.245,0.44
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.09,0.04,0.07
1,1,1,0,0,0,1,0,1,0,0,0,0,0,5.01,5.01,5.01
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.03,0.01,0.025
1,0,0,1,0,0,1,0,1,0,0,0,0,0,5.035,5.02,5.055
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.03,0.01,0.02
1,1,0,1,0,0,1,0,1,0,0,0,0,0,5.02,5.04,5.02
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.04,0.015,0.03
1,0,1,1,0,0,1,0,1,0,0,0,0,0,5.025,5.02,5.035
0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.02,0.01,0.015
1,1,1,1,0,0,1,0,1,0,0,0,0,0,5.03,5.02,5.015
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.11,0.05,0.09
1,0,0,0,1,0,1,0,1,0,0,0,0,0,5.01,5.01,5.005
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.13,0.055,0.11
1,1,0,0,1,0,1,0,1,0,0,0,0,0,5.01,5.01,5.01
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.04,0.01,0.04
1,0,1,0,1,0,1,0,1,0,0,0,0,0,5.01,5.01,5.005
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0.115,0.045,0.085
1,1,1,0,1,0,1,0,1,0,0,0,0,0,5.01,5.01,5.005
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.015,0,0.02
