0,1,2,3,4,5,6,7,8,9,10,11,task0,task1,task2
2,1,2,1000000,10,1,1,10,512,100,2,0,0,1.783333333,5.575
4,1,4,10,10,1,1,1000,512,10000,5,0,2.683333333,4.325,12.39166667
4,1,4,10,1,0,1000,1000,512,10000,2,29,19.575,230.475,663.4416667
2,10,4,10,1,0,1000,1000,1024,10000,5,0,39.58333333,128.5333333,260.6166667
4,10,2,1000000,10,0,1,1000,512,10000,2,0,32.2,3.191666667,15.85
2,1,4,10,10,1,1,10,1024,100,2,29,1.116666667,1.958333333,5.65
4,1,2,1000000,1,0,1,10,1024,100,2,29,5.266666667,1.258333333,4.1
4,1,2,1000000,1,1,1,1000,1024,10000,5,29,22.675,1.283333333,3.025
2,1,4,1000000,1,0,1,1000,1024,10000,5,29,19.45,1.116666667,1.491666667
2,10,4,1000000,1,1,1000,10,1024,100,2,29,1877.083333,121.725,298.25
2,10,4,1000000,1,0,1000,1000,1024,10000,2,0,1429.391667,107.7583333,276.5333333
4,1,2,1000000,1,1,1,1000,512,10000,5,0,22.6,1.258333333,3.175
4,10,4,10,10,1,1,10,512,100,2,0,1.441666667,4.191666667,15.99166667
4,1,4,10,1,1,1,10,512,100,2,0,1.166666667,1.25,2.6
2,10,4,10,10,0,1000,1000,1024,10000,5,0,649.1833333,1802.416667,8440.166667
2,1,4,10,10,0,1000,10,1024,100,5,29,613.6416667,1735.708333,9748.583333
4,1,4,10,10,0,1,1000,512,10000,2,0,1.7,4.1,13.68333333
2,1,2,10,1,1,1000,1000,1024,10000,2,0,19.8,106.7,294.4166667
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,758.3833333,231.4,758.9
4,1,2,1000000,10,0,1000,10,1024,100,5,0,0,4221.95,21736.04167
2,10,2,10,10,1,1,1000,1024,10000,5,29,1.375,2.208333333,5.725
2,1,4,10,1,0,1,1000,1024,10000,5,29,1.1,1.125,1.508333333
2,10,4,10,10,0,1,10,512,100,2,0,1.108333333,2.391666667,5.475
2,10,4,1000000,10,1,1,10,512,100,5,0,0,2.316666667,5.866666667
2,1,2,10,1,1,1000,1000,1024,10000,5,29,63.58333333,102.925,288.9583333
4,10,2,10,1,0,1,1000,512,10000,5,29,1.258333333,1.258333333,2.783333333
4,10,2,1000000,10,1,1000,1000,1024,10000,2,29,12.7,2612.216667,19890.60833
2,1,4,1000000,10,1,1,10,512,100,5,29,0,2.15,5.533333333
2,1,2,1000000,10,0,1,1000,1024,10000,5,0,0,1.816666667,5.9
4,10,4,10,1,0,1,1000,1024,10000,5,29,1.258333333,1.241666667,3.2
4,1,2,10,1,1,1000,1000,512,10000,2,29,37.10833333,201.675,679.325
2,10,2,10,10,1,1,10,1024,100,2,0,1.125,1.825,5.166666667
4,10,2,1000000,10,1,1,1000,512,10000,5,0,379.5833333,3.358333333,12.44166667
4,1,4,10,1,0,1,1000,1024,10000,2,0,1.133333333,1.275,3.008333333
4,10,2,10,1,1,1000,10,1024,100,5,29,73.85833333,189.5083333,917.4833333
2,10,4,10,1,1,1000,1000,1024,10000,5,29,36.4,109.9416667,263.75
4,1,2,1000000,10,0,1000,10,512,100,5,0,0,4516.7,21504.6
2,10,4,10,10,1,1,10,1024,100,2,29,1.141666667,1.933333333,6.258333333
2,10,4,10,1,0,1,1000,512,10000,5,29,1.108333333,1.116666667,1.566666667
2,1,4,1000000,10,0,1,10,1024,100,5,29,0,1.841666667,5.533333333
4,10,2,1000000,10,0,1000,10,1024,100,5,0,0,4211.358333,23375.81667
2,1,4,1000000,1,0,1,10,512,100,2,29,11.75,1.133333333,1.816666667
2,1,2,10,1,0,1,1000,512,10000,2,29,1.1,1.133333333,1.541666667
4,10,4,1000000,1,0,1000,1000,512,10000,2,0,1316.05,237.3916667,706.3833333
2,10,4,1000000,1,1,1000,1000,1024,10000,5,0,777.25,123.6916667,296.9166667
4,10,4,10,1,1,1000,10,1024,100,5,0,53.89166667,267.9083333,701.2083333
2,10,2,1000000,10,0,1000,10,1024,100,5,0,0,1432.125,18733.38333
2,10,4,1000000,1,1,1000,1000,1024,10000,5,29,741,127.8583333,246.0833333
2,1,4,10,1,1,1000,1000,1024,10000,2,29,11.825,115.8416667,234.3833333
4,10,4,1000000,10,0,1,10,512,100,5,0,4.033333333,4.208333333,12.825
4,10,2,1000000,10,0,1,10,512,100,2,29,33.775,3.3,13.25833333
2,1,2,1000000,10,1,1,10,1024,100,5,29,0,1.8,5.825
2,10,4,1000000,1,0,1,1000,512,10000,2,29,6.7,1.108333333,1.433333333
4,10,4,1000000,1,0,1,10,512,100,5,0,18.21666667,1.258333333,2.85
2,10,2,10,10,1,1,1000,512,10000,5,29,1.425,1.866666667,5.416666667
4,1,2,1000000,10,1,1,1000,512,10000,5,0,86.65833333,3.391666667,15.025
2,10,2,10,1,1,1,10,1024,100,5,29,1.116666667,1.108333333,1.5
2,10,4,1000000,10,0,1,10,512,100,2,29,0,1.883333333,5.625
2,10,4,1000000,10,1,1000,10,512,100,2,0,0,1868.441667,9767.291667
4,1,4,10,10,0,1,1000,512,10000,2,29,1.716666667,4.291666667,13.78333333
4,10,2,1000000,10,1,1,10,1024,100,5,29,0,3.25,13.375
4,1,4,1000000,1,1,1,10,512,100,2,0,8.183333333,1.241666667,3.083333333
2,1,4,1000000,10,1,1,10,1024,100,5,0,0,1.925,6.041666667
2,10,4,10,10,1,1000,1000,1024,10000,5,29,647.675,1887.391667,9303.333333
2,1,2,1000000,10,0,1,10,512,100,2,29,0,1.783333333,6.133333333
2,1,4,10,1,0,1000,10,512,100,5,29,44.55833333,124.4166667,231.4166667
4,1,4,10,10,0,1000,10,512,100,2,29,532.3083333,6211.008333,13375.89167
4,1,2,10,10,0,1000,10,512,100,5,0,2519.608333,4943.675,22655.83333
2,10,4,1000000,10,0,1000,10,512,100,2,29,0,1898.141667,8748.433333
2,1,2,1000000,1,0,1,10,512,100,2,0,96.40833333,1.108333333,1.55
2,10,4,1000000,1,1,1000,1000,1024,10000,2,0,1059.3,132.0416667,297.675
4,10,2,1000000,1,1,1000,10,1024,100,5,0,0,174.9333333,694.1666667
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,11.34166667,1.125,1.508333333
4,10,2,1000000,10,1,1,10,512,100,2,29,227.0166667,3.166666667,13.025
4,10,2,10,10,0,1000,1000,512,10000,5,29,1389.741667,4005.316667,20885.225
2,1,4,10,1,0,1,1000,1024,10000,2,0,1.1,1.133333333,1.508333333
4,10,4,1000000,1,0,1000,10,1024,100,5,0,0,250.35,663.65
2,10,4,1000000,10,1,1,1000,1024,10000,2,29,0,1.916666667,5.791666667
2,10,2,1000000,10,1,1,1000,1024,10000,5,29,0,2.241666667,5.191666667
4,1,4,10,10,0,1000,10,512,100,2,0,512.0833333,4974.633333,16124.76667
2,10,4,1000000,10,0,1000,1000,512,10000,2,0,0,1607.225,9015.583333
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,0,1676.091667,8723.008333
2,1,2,10,1,1,1,10,1024,100,2,29,1.1,1.116666667,1.458333333
4,10,4,1000000,1,1,1,10,1024,100,5,29,18.5,1.266666667,3.041666667
4,10,4,1000000,1,0,1000,1000,1024,10000,5,29,5161.558333,242.2833333,684.3916667
2,10,4,10,1,1,1,1000,512,10000,5,29,1.108333333,1.125,1.508333333
2,10,4,10,1,0,1000,1000,1024,10000,2,0,10.31666667,124.7083333,270.0583333
2,10,2,1000000,10,1,1000,10,1024,100,5,29,0,1566.483333,14634.475
4,10,2,1000000,1,0,1000,1000,1024,10000,5,0,1315.375,202.0833333,834.5
2,10,4,10,1,1,1000,10,1024,100,2,0,7.75,118.3166667,248.1
4,10,4,1000000,10,0,1,1000,1024,10000,2,0,331.9333333,4.3,13.55
4,10,4,10,10,0,1,1000,1024,10000,2,0,1.425,4.4,15.61666667
4,10,4,1000000,10,1,1,1000,1024,10000,2,0,76.41666667,4.258333333,12.84166667
4,10,4,10,10,0,1000,10,1024,100,5,0,1794.483333,5010.833333,17239
4,10,2,10,10,0,1,10,1024,100,5,0,2.733333333,3.333333333,14.24166667
4,10,2,10,1,0,1,1000,1024,10000,2,0,1.15,1.241666667,3.183333333
2,10,2,1000000,1,1,1000,1000,512,10000,2,0,1630.975,100.2416667,319.3416667
2,10,2,1000000,1,1,1,1000,1024,10000,2,29,6.616666667,1.133333333,1.558333333
2,10,2,10,10,1,1000,1000,512,10000,2,0,259.825,1463.791667,15141.20833
4,10,2,10,1,0,1000,1000,512,10000,2,0,21.4,194.4833333,825.7666667
4,10,4,10,10,0,1000,10,1024,100,5,29,2071.958333,4811.191667,17771.85
4,1,2,1000000,10,1,1000,1000,512,10000,2,29,60.2,4063.766667,29147.19167
4,10,2,1000000,1,0,1000,10,512,100,5,0,0,174.025,875.8916667
4,1,4,1000000,10,0,1,10,1024,100,2,0,22.66666667,4.516666667,14.94166667
2,10,4,10,1,0,1,1000,512,10000,2,0,1.1,1.108333333,1.708333333
4,10,2,10,10,1,1,10,512,100,5,29,2.666666667,3.283333333,13.65
2,10,4,10,1,0,1000,10,512,100,2,0,7.85,118.5,302.6416667
4,10,4,10,1,1,1000,1000,1024,10000,2,0,16.325,220.3416667,899.625
2,1,4,1000000,10,0,1000,1000,1024,10000,2,29,0,1602.858333,9306.95
4,1,4,10,10,0,1000,1000,512,10000,2,29,611.725,5388.475,17990.38333
2,1,4,1000000,1,1,1000,1000,512,10000,2,0,0,108.8416667,245.1666667
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,19.53333333,1.291666667,2.933333333
4,10,2,10,10,0,1000,1000,512,10000,2,29,553,4452.375,19266.11667
4,10,4,10,10,0,1,10,1024,100,2,29,1.4,4.158333333,14.875
2,10,4,10,1,1,1000,1000,512,10000,5,29,38.075,113.6,250.775
4,1,4,1000000,10,1,1000,10,512,100,2,0,155.575,5083.591667,15491.76667
2,1,4,1000000,1,0,1000,1000,512,10000,2,29,0,131.0666667,263.8416667
2,1,4,1000000,10,1,1,1000,512,10000,5,29,0,2.233333333,5.583333333
4,10,4,1000000,1,1,1000,10,512,100,5,0,1422.783333,238.7416667,762.2833333
2,10,2,10,1,1,1000,10,512,100,2,0,18.8,101.2166667,291.425
2,1,2,10,1,0,1,1000,512,10000,5,29,1.141666667,1.108333333,1.466666667
4,1,2,1000000,1,1,1000,1000,1024,10000,2,29,2892.666667,182.4666667,702.2666667
2,1,4,10,10,1,1000,10,1024,100,2,29,234.7666667,1675.325,9888.066667
2,10,2,10,1,0,1000,10,1024,100,5,0,54.925,105.025,273.3583333
2,1,2,10,1,1,1,10,512,100,2,29,1.1,1.1,1.491666667
4,1,4,10,1,1,1,10,1024,100,2,29,1.125,1.266666667,2.55
4,10,4,1000000,1,0,1000,1000,512,10000,5,29,5188.041667,223.6416667,786.7083333
2,10,2,1000000,1,1,1,10,512,100,5,29,15.55,1.116666667,1.5
2,1,2,1000000,10,1,1000,10,512,100,2,0,0,1521.408333,19230.83333
4,10,4,10,1,1,1,1000,1024,10000,2,0,1.2,1.275,3.375
4,1,4,10,10,1,1,1000,512,10000,2,0,1.425,5.825,14.16666667
2,10,2,10,1,1,1,10,1024,100,2,29,1.1,1.133333333,1.508333333
4,1,4,1000000,1,1,1,10,1024,100,2,29,8.733333333,1.258333333,2.825
4,1,4,10,10,1,1,10,512,100,2,29,1.35,4.25,14.80833333
2,10,4,10,10,1,1,10,512,100,2,29,1.108333333,1.858333333,5.366666667
4,1,2,1000000,10,1,1,1000,1024,10000,2,29,28.29166667,3.283333333,13.85
4,1,2,1000000,1,0,1,1000,512,10000,5,0,25.45,4.175,2.766666667
2,1,4,10,1,0,1000,10,1024,100,2,0,12.71666667,125.15,333.8666667
4,10,2,1000000,10,0,1000,1000,1024,10000,5,0,134.9,4528.033333,21404.68333
4,10,4,10,10,0,1000,1000,1024,10000,5,29,2152.908333,5218.775,20915.23333
4,1,4,10,1,0,1000,10,512,100,5,29,84.60833333,219.6833333,841.3583333
2,10,2,10,1,0,1000,1000,1024,10000,2,29,18.85,96.34166667,319.4083333
4,1,4,10,1,0,1000,1000,512,10000,5,0,85.475,271.15,596.5
4,10,2,1000000,10,0,1000,10,512,100,5,0,104.8666667,2748.558333,21651.38333
2,1,2,1000000,1,1,1,10,1024,100,2,0,11.125,1.108333333,1.525
4,10,4,10,10,1,1,1000,1024,10000,2,29,1.45,4.391666667,14.88333333
2,1,4,10,1,1,1000,1000,512,10000,5,0,43.63333333,120.875,289.2166667
2,10,4,10,1,1,1000,10,1024,100,5,0,37.08333333,121.1166667,259.275
4,1,4,10,1,0,1000,10,1024,100,2,0,23.11666667,235.6416667,651.9333333
2,1,4,10,1,1,1000,1000,1024,10000,2,0,11.625,135.6666667,283.0916667
4,1,2,1000000,10,1,1000,10,512,100,2,29,28.55,3525.758333,20870.99167
4,10,2,10,10,0,1000,10,512,100,5,0,2077.391667,4657.2,20674.90833
4,10,4,1000000,10,0,1,10,1024,100,2,0,67.19166667,4.083333333,14
2,10,2,1000000,1,0,1000,10,512,100,5,0,0,100.7083333,263.575
2,10,2,10,10,0,1000,10,1024,100,5,0,736.8916667,1480.3,21729.225
4,1,2,1000000,1,0,1,10,1024,100,2,0,5.233333333,1.283333333,2.908333333
4,10,4,1000000,10,0,1000,1000,1024,10000,2,29,52.46666667,5293.9,16454.575
4,1,4,10,10,1,1000,10,512,100,2,29,540.65,4895.65,16880.69167
4,1,2,1000000,1,0,1,1000,512,10000,2,29,5.216666667,1.275,2.583333333
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,0,1775.416667,12070.85833
4,10,2,10,1,1,1000,10,512,100,2,0,28.40833333,164.7333333,663.4
2,1,2,1000000,10,1,1,1000,1024,10000,5,0,0,2.191666667,5.516666667
2,1,4,1000000,1,0,1,10,512,100,5,0,20.6,1.125,1.566666667
2,1,2,1000000,1,1,1000,1000,1024,10000,2,0,2963.033333,110.1833333,241.1583333
2,1,4,10,10,1,1,10,1024,100,5,29,1.325,1.875,5.916666667
2,1,4,10,1,0,1,10,512,100,2,29,1.1,1.141666667,1.516666667
2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,0,134.825,253.3333333
4,1,2,10,1,1,1000,1000,512,10000,2,0,37.59166667,173.2583333,602.2416667
4,1,2,1000000,10,0,1,1000,1024,10000,5,0,287.3166667,3.191666667,13.60833333
2,10,2,10,10,0,1000,1000,1024,10000,2,29,256.725,1472.975,14510.025
4,1,4,1000000,1,1,1,10,512,100,5,29,19.19166667,1.25,2.925
2,1,2,10,10,0,1,10,1024,100,5,0,1.258333333,2.125,5.25
4,10,4,10,10,1,1000,1000,512,10000,2,29,832.9083333,4809.833333,17393.36667
4,10,4,1000000,1,1,1000,10,1024,100,2,0,1706.666667,214.0166667,652.5166667
2,1,2,10,10,0,1,1000,1024,10000,5,0,1.291666667,2.283333333,5.65
2,1,2,1000000,10,0,1000,1000,512,10000,5,29,0,1398.85,20232.89167
2,1,2,1000000,10,1,1000,10,1024,100,5,29,0,1496.808333,17282.86667
2,10,2,1000000,10,0,1,10,512,100,5,0,0,2.208333333,5.833333333
4,10,4,10,10,0,1000,10,1024,100,2,0,714.4166667,5099.075,15440.15833
2,10,4,10,1,1,1000,1000,1024,10000,5,0,45.65833333,118.4,240.5416667
2,1,2,1000000,1,1,1000,1000,1024,10000,2,29,165.225,111.25,284.7833333
2,1,4,1000000,1,0,1000,10,1024,100,2,29,934.9166667,122.725,268.6583333
2,10,2,1000000,1,0,1,10,512,100,2,29,6.25,1.125,1.5
4,1,4,10,1,1,1000,1000,1024,10000,2,29,16.08333333,283.5166667,846.3916667
4,10,4,1000000,1,1,1,10,1024,100,5,0,18.05,1.241666667,3.083333333
2,1,4,1000000,1,0,1000,1000,512,10000,5,0,676.3,126.1,268.8916667
2,10,2,1000000,10,0,1,10,1024,100,2,29,0,1.825,5.758333333
4,1,4,10,1,1,1000,1000,512,10000,5,29,97.86666667,252.0916667,673.8083333
4,1,4,10,1,0,1,1000,512,10000,5,0,1.258333333,1.258333333,4.658333333
4,10,4,10,1,1,1000,10,1024,100,5,29,51.26666667,263.6166667,689.75
2,1,4,10,10,1,1000,10,1024,100,5,29,607.9083333,1768.233333,8490.608333
2,10,2,1000000,1,1,1,10,512,100,2,29,6.216666667,1.158333333,1.708333333
4,1,4,10,10,1,1000,1000,512,10000,5,0,1578.991667,5229.35,18333.375
2,10,4,10,1,1,1,1000,1024,10000,5,0,1.125,1.116666667,1.458333333
2,1,2,10,10,1,1,1000,1024,10000,5,29,1.591666667,2.241666667,5.325
4,1,4,10,1,1,1,10,1024,100,2,0,1.158333333,1.266666667,3.5
2,10,4,1000000,10,1,1,10,1024,100,2,0,0,1.916666667,5.641666667
2,1,4,10,1,0,1000,1000,512,10000,5,0,50.91666667,114.7333333,259.7
4,10,2,1000000,10,1,1,10,512,100,2,0,152.6583333,3.375,14.15833333
2,1,4,1000000,1,1,1000,10,512,100,5,0,0,114.2,238.6916667
4,10,4,1000000,10,1,1,10,512,100,5,0,61.89166667,4.3,14.29166667
2,10,2,10,1,1,1000,1000,1024,10000,5,0,61.16666667,101.3083333,316.0083333
4,1,2,1000000,1,0,1000,10,1024,100,5,0,2987.45,194.5083333,696.875
2,10,2,1000000,10,0,1,10,512,100,2,29,0,1.816666667,5.716666667
2,1,4,10,1,1,1,10,1024,100,2,0,1.1,1.1,1.475
2,1,2,1000000,10,1,1,10,512,100,5,29,0,1.783333333,5.308333333
2,1,4,1000000,10,1,1,1000,1024,10000,2,0,0,2.041666667,5.916666667
2,1,4,10,10,1,1,10,512,100,2,29,1.166666667,1.891666667,6.591666667
2,1,4,10,10,1,1000,1000,1024,10000,2,0,239.925,2103.966667,12676.66667
4,1,2,10,10,1,1,10,1024,100,5,0,2.475,3.233333333,12.14166667
4,1,2,1000000,1,0,1000,10,512,100,5,0,2584.466667,174.8916667,702.525
2,1,4,1000000,1,0,1,1000,512,10000,2,29,65.15833333,1.116666667,1.475
2,1,2,1000000,10,0,1,10,512,100,2,0,0,2.266666667,6.125
4,1,2,1000000,10,1,1000,1000,512,10000,5,29,0,2678.816667,20687.58333
2,10,2,1000000,1,1,1000,10,512,100,5,29,580.325,96.85833333,293.3166667
2,1,2,10,10,1,1000,10,512,100,5,0,580.1083333,1432.041667,10841.075
4,10,4,1000000,1,1,1,1000,1024,10000,2,0,19.55,1.258333333,3.45
4,10,4,10,1,1,1,10,512,100,2,29,1.133333333,1.25,2.966666667
4,1,4,10,1,0,1000,1000,512,10000,5,29,87.73333333,271.0416667,706.075
4,10,4,1000000,10,0,1000,1000,1024,10000,5,29,0,4243.55,20463.35
4,10,4,1000000,1,0,1,1000,512,10000,5,29,19.275,1.266666667,3.325
2,10,2,10,1,1,1000,1000,1024,10000,5,29,64.04166667,109,281.3833333
2,10,4,1000000,1,0,1000,10,512,100,5,29,506.1666667,118.7666667,289.95
4,1,2,1000000,10,1,1000,10,1024,100,5,29,0,4661.425,21252.31667
2,10,4,10,10,1,1,10,512,100,5,29,1.4,1.916666667,5.841666667
2,1,2,1000000,1,0,1,10,512,100,2,29,11.74166667,1.191666667,1.508333333
4,10,4,1000000,10,0,1000,10,512,100,5,0,0,5121.266667,17941.775
2,1,2,1000000,1,0,1,10,512,100,5,0,568.9,1.116666667,1.458333333
4,10,4,1000000,1,1,1000,1000,1024,10000,5,29,0,264.9916667,849.5
4,10,2,10,1,1,1000,10,1024,100,5,0,75.31666667,172.0166667,869.475
2,1,4,1000000,10,0,1,10,512,100,2,0,0,1.925,6.108333333
4,1,2,10,10,1,1,1000,512,10000,5,29,2.558333333,3.441666667,12.85
2,10,4,10,10,0,1,10,512,100,2,29,1.108333333,1.958333333,6.491666667
2,10,4,10,10,1,1000,1000,512,10000,2,0,264.4416667,1690.241667,10197.56667
2,1,2,1000000,10,0,1,10,1024,100,2,29,0,1.833333333,5.416666667
4,1,2,10,1,0,1000,1000,512,10000,2,29,42.55833333,174.9083333,629.9916667
4,10,2,1000000,1,0,1,10,512,100,5,29,19.08333333,1.241666667,2.958333333
4,10,4,10,1,0,1,10,1024,100,5,29,1.241666667,1.25,2.95
2,10,2,1000000,1,0,1000,1000,1024,10000,2,0,467.9416667,106.6,280.7333333
2,10,2,1000000,10,1,1,10,1024,100,5,29,0,1.758333333,5.683333333
2,10,4,1000000,10,1,1000,10,512,100,5,0,0,1823.666667,9939.783333
2,1,2,1000000,1,0,1000,1000,1024,10000,2,0,3211.591667,98.925,322.4083333
4,1,2,1000000,1,1,1,10,1024,100,5,29,23.575,1.233333333,3.033333333
2,1,2,10,1,0,1,1000,1024,10000,2,0,1.1,1.108333333,1.516666667
4,10,2,10,1,1,1000,1000,1024,10000,5,29,77.64166667,187.8583333,797.275
4,1,4,1000000,1,0,1000,1000,1024,10000,5,0,756.9333333,236.325,758.9666667
4,1,4,1000000,10,1,1000,1000,512,10000,2,29,161.3583333,5301.375,17312.425
2,1,2,10,1,1,1000,1000,1024,10000,5,0,62.375,101.05,282.0666667
4,10,2,1000000,10,0,1,10,512,100,2,0,57.99166667,3.275,13.3
2,1,4,1000000,1,1,1,1000,512,10000,5,0,166.0916667,1.1,1.458333333
2,1,4,1000000,10,0,1,1000,1024,10000,2,0,0,1.983333333,5.541666667
4,1,2,10,10,1,1,10,512,100,5,0,2.5,3.366666667,13.26666667
2,10,2,10,1,1,1000,10,1024,100,5,29,55,93.91666667,248.0333333
4,1,2,10,1,0,1,10,1024,100,5,0,1.225,1.25,2.775
4,1,4,1000000,1,1,1000,10,1024,100,2,29,477.1666667,224.7583333,617.9916667
4,1,2,1000000,1,1,1,1000,512,10000,5,29,22.75833333,3.791666667,3
2,1,4,10,1,0,1000,1000,1024,10000,2,29,14.36666667,107.2666667,258.05
2,1,2,10,10,1,1,1000,512,10000,5,0,1.275,1.808333333,5.491666667
4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,0,4204.316667,22068.65833
4,1,4,1000000,1,0,1,1000,512,10000,2,0,8.7,1.241666667,2.808333333
2,1,4,10,10,1,1000,1000,1024,10000,2,29,244.5666667,1770.933333,8343.583333
4,1,2,1000000,10,1,1,1000,1024,10000,5,0,137.8833333,3.225,13.41666667
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,6.341666667,1.158333333,1.65
2,10,4,1000000,1,0,1,10,512,100,2,0,7.175,1.141666667,1.583333333
4,1,4,1000000,10,1,1,10,512,100,2,29,36.9,4.225,13.74166667
4,10,2,1000000,1,0,1000,10,1024,100,5,29,8178.216667,179.6583333,720.2833333
2,10,2,1000000,10,1,1000,1000,1024,10000,2,0,0,1466.225,16925.30833
4,10,2,10,1,0,1000,1000,512,10000,5,29,71.925,182.1916667,682.525
4,10,2,10,1,0,1000,1000,1024,10000,5,0,88.59166667,192.8666667,576.0666667
4,10,4,10,10,0,1,10,1024,100,5,0,3.6,4.3,13.83333333
4,10,4,10,10,0,1,1000,1024,10000,2,29,1.433333333,4.283333333,13.35
4,10,2,10,10,1,1,10,512,100,5,0,2.6,3.241666667,14
2,10,4,1000000,1,0,1,1000,512,10000,5,29,15.55833333,1.108333333,1.441666667
2,10,2,1000000,10,0,1,1000,1024,10000,2,29,0,1.833333333,5.783333333
2,10,2,10,1,0,1000,10,1024,100,5,29,57.525,95.61666667,413.4416667
2,10,4,1000000,10,0,1,1000,1024,10000,2,0,0,1.9,5.941666667
2,1,2,10,1,0,1000,10,512,100,2,0,17.575,106.8833333,311.6416667
4,1,2,10,10,0,1000,1000,512,10000,2,29,521.4166667,3482.416667,21406.63333
4,1,2,1000000,1,1,1000,1000,1024,10000,5,0,1467.4,191.5166667,933.275
4,1,2,10,10,0,1000,10,1024,100,2,0,479.7,3546.841667,18408.60833
4,10,4,10,10,1,1000,1000,1024,10000,5,29,1934.966667,4998.566667,18115.125
